candidate_id,recruiter,role,seniority,department,source,stage,stage_order,date_entered,date_exited,duration_days,final_outcome
CAND-0001,Sofia R,Product Manager,Mid,Product,client,CV Sent,1,2024-09-11,2024-09-13,2,Dropped
CAND-0001,Sofia R,Product Manager,Mid,Product,client,Remoti Screening,2,2024-09-13,2024-09-15,2,Dropped
CAND-0001,Sofia R,Product Manager,Mid,Product,client,Test Sent,3,2024-09-15,2024-09-25,10,Dropped
CAND-0002,Camila P,Mid Software Engineer,Mid,Engineering,remoti,CV Sent,1,2025-08-01,2025-08-03,2,Hired
CAND-0002,Camila P,Mid Software Engineer,Mid,Engineering,remoti,Remoti Screening,2,2025-08-03,2025-08-10,7,Hired
CAND-0002,Camila P,Mid Software Engineer,Mid,Engineering,remoti,Test Sent,3,2025-08-10,2025-08-15,5,Hired
CAND-0002,Camila P,Mid Software Engineer,Mid,Engineering,remoti,Test Reviewed,4,2025-08-15,2025-08-18,3,Hired
CAND-0002,Camila P,Mid Software Engineer,Mid,Engineering,remoti,Sezzle Prescreening,5,2025-08-18,2025-08-20,2,Hired
CAND-0002,Camila P,Mid Software Engineer,Mid,Engineering,remoti,Sezzle Interview,6,2025-08-20,2025-08-25,5,Hired
CAND-0002,Camila P,Mid Software Engineer,Mid,Engineering,remoti,Offer,7,2025-08-25,2025-08-29,4,Hired
CAND-0002,Camila P,Mid Software Engineer,Mid,Engineering,remoti,Hired,8,2025-08-29,2025-08-30,1,Hired
CAND-0003,Sofia R,Junior Software Engineer,Junior,Engineering,remoti,CV Sent,1,2024-12-22,2024-12-27,5,Dropped
CAND-0003,Sofia R,Junior Software Engineer,Junior,Engineering,remoti,Remoti Screening,2,2024-12-27,2024-12-29,2,Dropped
CAND-0003,Sofia R,Junior Software Engineer,Junior,Engineering,remoti,Test Sent,3,2024-12-29,2025-01-08,10,Dropped
CAND-0004,Juan S,Sr Software Engineer,Senior,Engineering,remoti,CV Sent,1,2025-01-09,2025-01-14,5,Dropped
CAND-0004,Juan S,Sr Software Engineer,Senior,Engineering,remoti,Remoti Screening,2,2025-01-14,2025-01-16,2,Dropped
CAND-0005,Sofia R,IT Vendor Manager,Senior,Operations,remoti,CV Sent,1,2025-04-13,2025-04-16,3,Dropped
CAND-0005,Sofia R,IT Vendor Manager,Senior,Operations,remoti,Remoti Screening,2,2025-04-16,2025-04-20,4,Dropped
CAND-0006,Juan S,Junior Software Engineer,Junior,Engineering,remoti,CV Sent,1,2026-01-20,2026-01-22,2,Dropped
CAND-0006,Juan S,Junior Software Engineer,Junior,Engineering,remoti,Remoti Screening,2,2026-01-22,2026-01-27,5,Dropped
CAND-0006,Juan S,Junior Software Engineer,Junior,Engineering,remoti,Test Sent,3,2026-01-27,2026-02-06,10,Dropped
CAND-0006,Juan S,Junior Software Engineer,Junior,Engineering,remoti,Test Reviewed,4,2026-02-06,2026-02-09,3,Dropped
CAND-0006,Juan S,Junior Software Engineer,Junior,Engineering,remoti,Sezzle Prescreening,5,2026-02-09,2026-02-17,8,Dropped
CAND-0007,Andres M,Sr Software Engineer,Senior,Engineering,client,CV Sent,1,2025-08-07,2025-08-10,3,Dropped
CAND-0007,Andres M,Sr Software Engineer,Senior,Engineering,client,Remoti Screening,2,2025-08-10,2025-08-15,5,Dropped
